counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
WASHINGTON,2,96,26,10,0,2017,59,75,0,128,6,0,0,39,84,1,10,1,2,10,121,0,11944
WATAUGA,5,332,37,22,2,2017,206,192,0,382,16,0,0,349,7,9,33,2,6,26,364,0,55181
WAYNE,22,1085,413,85,6,2017,855,756,0,1553,58,0,0,739,520,36,316,3,32,126,1450,0,123034
WILKES,6,471,140,30,2,2017,345,304,0,633,16,0,0,533,34,4,78,2,13,63,571,0,68489
WILSON,18,645,227,44,5,2017,479,460,0,898,38,3,0,337,412,15,175,3,21,68,847,0,81436
YADKIN,1,294,83,13,1,2017,201,191,0,376,16,0,0,304,9,1,78,0,5,35,352,0,37588
YANCEY,3,152,14,1,0,2017,84,86,0,170,0,0,0,145,0,1,24,0,1,12,157,0,17697
ALAMANCE,44,1237,522,130,25,2018,1023,935,0,1890,68,0,0,1041,447,56,414,4,32,146,1776,0,166514
ALEXANDER,7,260,57,14,6,2018,170,174,0,338,6,0,0,290,18,8,28,0,3,27,314,0,37331
ALLEGHANY,1,63,15,12,0,2018,46,45,0,85,6,0,0,71,2,0,18,0,2,6,83,0,11138
ANSON,8,155,71,26,3,2018,138,125,0,249,14,0,0,118,128,5,12,1,5,37,220,0,24470
ASHE,1,147,42,6,3,2018,97,102,0,193,6,0,0,177,2,2,18,0,2,13,184,0,27099
AVERY,1,125,25,12,0,2018,82,81,0,157,6,0,0,147,0,2,14,0,2,17,143,1,17528
BEAUFORT,1,305,93,17,0,2018,193,223,0,410,6,0,0,227,133,7,49,2,2,33,379,0,47056
BERTIE,1,134,37,7,0,2018,96,83,0,169,10,0,0,60,113,1,5,0,3,18,158,0,19106
BLADEN,9,217,108,30,7,2018,181,190,0,355,16,0,0,177,136,11,47,0,4,36,331,0,33151
BRUNSWICK,19,662,219,49,38,2018,535,452,0,960,27,0,0,755,109,13,110,5,13,73,896,0,136880
BUNCOMBE,37,2130,259,37,19,2018,1252,1230,0,2411,71,0,0,1891,197,67,327,4,19,195,2263,1,259259
BURKE,14,640,176,29,4,2018,417,446,0,836,27,0,0,642,39,77,105,3,12,71,774,3,90405
CABARRUS,28,1715,622,129,15,2018,1286,1223,0,2419,84,6,0,1358,518,217,416,5,28,191,2285,0,211597
CALDWELL,13,547,162,53,2,2018,387,390,0,751,26,0,0,667,42,7,61,1,10,49,717,0,82026
CAMDEN,0,81,14,2,1,2018,50,48,0,96,2,0,0,87,8,1,2,0,1,6,91,0,10676
CARTERET,9,388,77,26,1,2018,256,245,0,487,14,0,0,424,32,8,37,1,5,32,463,0,69438
CASWELL,7,138,50,16,7,2018,111,107,0,200,18,0,0,127,72,4,15,1,5,23,189,0,22634
CATAWBA,38,1298,284,64,9,2018,846,847,0,1655,38,0,0,1115,170,135,273,2,24,98,1569,0,158687
CHATHAM,10,475,133,21,11,2018,355,295,0,622,25,3,0,424,69,16,141,1,11,49,589,0,73127
CHEROKEE,5,194,43,16,0,2018,145,113,0,250,8,0,0,224,5,12,17,0,4,16,238,0,28369
CHOWAN,1,103,34,5,0,2018,78,65,0,138,2,3,0,73,66,0,4,1,5,12,125,0,14065
CLAY,0,67,13,1,2,2018,48,35,0,81,2,0,0,78,1,0,4,0,1,4,78,0,11124
CLEVELAND,26,745,311,66,14,2018,597,565,0,1115,44,3,0,789,294,13,66,1,16,106,1039,0,97519
COLUMBUS,13,327,116,28,82,2018,276,290,0,554,12,0,0,316,179,21,50,1,8,63,494,0,55819
CRAVEN,18,966,267,81,5,2018,685,652,0,1293,38,6,0,825,296,72,144,2,13,102,1220,0,102338
CUMBERLAND,72,3902,1181,225,22,2018,2754,2648,0,5218,178,6,0,2171,2131,313,787,13,104,419,4866,0,333430
CURRITUCK,4,212,37,10,0,2018,140,123,0,253,7,3,0,232,13,8,10,0,5,24,234,0,27016
DARE,1,256,51,4,6,2018,170,148,0,312,6,0,0,250,11,4,53,0,2,7,309,0,36607
DAVIDSON,49,1244,373,79,6,2018,903,848,0,1705,46,0,0,1307,213,39,192,3,25,139,1584,0,166358
DAVIE,4,298,79,17,0,2018,197,201,0,386,12,0,0,327,26,3,42,0,5,29,364,0,42563
DUPLIN,19,426,214,38,10,2018,364,343,0,681,26,0,0,299,154,3,251,1,6,42,658,0,58991
DURHAM,59,2960,882,220,30,2018,2089,2062,0,4004,132,15,0,1632,1364,256,899,7,63,292,3788,1,316979
